id,DC id,stars,hashtag,contents,weather,user1_gender,user1_age,user1_mbti,user2_gender,user2_age,user2_mbti
19,6,4,"[JMT, 낭만, 추억, 이색]",새로운 경험 많이 해서 좋네요,sunny_cold,female,31,ENTJ,female,31,ISTP
20,4,4,"[텅장, 친구]",옷집이 좀 어린 친구들 옷집이지만 좋네요,sunny_warm,female,32,ESTP,female,32,ISTP
21,12,5,"[데이트, 썸, 텅장, 자연, 낭만]",좋은 추억 만들고 갑니당,rainy_warm,female,24,ISTP,female,24,ISTP
22,20,5,"[가성비, JMT, 이색, 인생샷]",좋은 사진 건져서 좋네요,cloudy_cold,female,24,ISTP,female,24,ISTP
23,10,3.5,"[데이트, 썸, 힐링, 낭만]",남자서 남매지는 좀..,sunny_hot,male,19,INTP,male,18,ENFJ
24,12,2.5,[데이트],남자 둘이서 수성못은 좀..,sunny_hot,male,19,INTP,male,18,ENFJ
25,16,3,"[식폭행, 텅장]",비가 오는 날에 이런 코스는 좀..,rainy_cool,female,26,ENFJ,female,26,ENTP
26,10,5,"[식폭행, 데이트, 힐링]",너무 좋은 코스네요~,rainy_cool,female,26,ENFJ,female,26,ENTP
27,20,4,"[인생샷, 힐링, 이색]",박물관 생각보다 갠찬네여,sunny_cool,female,19,ESTP,female,18,INTP
28,14,4,"[오운완, 데이트, 힐링, 낭만, 추억, 자연]",신천 걸으니 힐링되네요,rainy_hot,female,32,INFP,female,32,ISTP
29,20,5,"[데이트, 친구, 이색]",미술관 그림 죽이네요ㅕ,cloudy_cold,female,18,ESFP,female,18,ENTP
30,1,4,"[데이트, JMT, 텅장]",꽤 괜찮네여,sunny_warm,male,24,ESFJ,male,24,ISFJ
31,18,2.5,"[식폭행, 이색, 텅장]",웨이팅이 있긴 했지만 좋아요!,sunny_cool,male,18,ENTP,female,18,INFP
32,18,4,"[식폭행, 텅장, 추억]",다 맛있네요,cloudy_cool,male,22,ISFJ,male,22,INTP
33,16,5,"[소확행, 데이트, 낭만, 식폭행]",좋은 데이트:),cloudy_hot,male,20,ISTP,female,20,ESTP
34,8,4,"[이색, 힐링, JMT]",비가 오긴 했지만 재밌었어요,rainy_warm,male,23,ISTP,female,23,ESFP
35,12,3,"[힐링, 자연, 낭만]",좋네요,rainy_cold,male,23,ISTP,female,23,ESFP
36,3,5,"[데이트, 텅장, 추억, 낭만, 이색]",더운데 시원하게 데이트 잘 하고 갑니당,sunny_hot,female,19,ESFJ,male,19,ESFP
37,18,2.5,"[텅장, 친구]",넘 춥고 기다리기 힘드네요ㅠ,sunny_cold,female,19,ESFJ,male,19,ESFP
38,10,3.5,"[데이트, 이색, 힐링, 텅장]",남자둘이서 오긴 좀 그렇지만 날씨는 좋네여,sunny_cool,male,19,INFJ,female,19,INTJ
39,5,4,"[친구, 단체, 추억, 텅장]",i라서 좀 힘드네요,sunny_cold,female,24,INTJ,male,24,ISFJ
40,10,5,"[데이트, 텅장, 낭만, 인생샷]",더웠지만 데이트 하기엔 좋네요.. ^^,cloudy_hot,female,24,INTJ,male,24,ISFJ
41,10,3,"[데이트, 낭만, 이색]",추워서 힘드네요,snowy_cold,female,18,ENFJ,male,18,ENFJ
42,7,5,"[친구, 가성비]",오랜만에 잼게 놀았어요 ㅎㅎ,rainy_cold,female,24,ENFP,female,21,ENTJ
43,11,4,"[데이트, 친구, 가성비]",날씨가 넘 좋은데 안에 있는건 좀..,rainy_warm,female,15,ENFP,male,15,INFJ
44,8,5,"[데이트, 힐링, 썸]",감사합니다! 이렇게 하고 사겨여,sunny_warm,male,21,ISFJ,female,21,ENFP
45,17,2,"[데이트, 낭만, 인생샷, 소확행]",덥고 습해서 오래 걷기가 힘드네여..,rainy_hot,male,21,ISFJ,female,21,ENFP
46,6,3,"[오운완, 친구, 단체]",제가 i라 데이트코스로 적절하진 않네요..,sunny_warm,male,21,ISFJ,female,21,ENFP
47,18,4,"[식폭행, 이색, JMT, 텅장]",추워서 기다리는게 힘드네여..,cloudy_cold,male,23,ISFJ,female,23,ISTJ
48,5,5,"[오운완, 소확행, 가성비, 낭만]",추운데 잼게 운동도 하면서 놀 수 있는 최고의 코스!,snowy_cold,female,23,ISTP,female,23,ISTJ
49,4,5,"[텅장, 힐링, 친구]",오랜만에 옷사면서 힐링!!,sunny_cold,female,16,ENFJ,female,16,ISFJ
50,1,2,"[식폭행, 텅장, 데이트, 썸]",남자끼리 오기엔 별로네요,sunny_cool,male,25,ENFJ,male,25,INTP
51,18,5,"[식폭행, 소확행, 힐링, 이색, 텅장]",맛꿀마 먹어서 기부니가 좋아용,cloudy_warm,male,19,INTP,female,19,ISFJ
52,9,4,"[오운완, 친구, 이색, 힐링, 가성비]",pc방이 맘에 안들지만 재밌었어요!,sunny_hot,female,19,ENTJ,female,19,ISFJ
53,19,5,"[소확행, 가성비, 썸]",재밌네요 덥지도 않고,sunny_hot,male,22,INTP,female,22,INTJ
54,7,5,"[데이트, 힐링, JMT]",카레 집이 넘넘 맛있네요 강추!!,rainy_cool,female,21,ENFJ,male,21,INFJ
55,2,5,"[식폭행, 친구, 텅장]",넘넘 재밌고 알차게 놀았네요 ㅎㅎ,sunny_cold,female,20,ISTP,female,20,ENTJ
56,2,3,"[힐링, 이색, 텅장]",남자 둘이서 사진 찍기라..,sunny_cool,male,24,ENTP,male,24,ENFP
57,16,3.5,"[식폭행, 이색, 텅장, 낭만]",서브를 피방으로 바꾸니 재밌네요!,cloudy_cold,male,17,INFP,male,17,ISFP
58,9,4,"[오운완, 이색, 추억]",비오는데 운동할 수 있어서 넘넘 좋아요!!,rainy_cold,female,15,ISFP,female,15,ENFP
59,5,4,"[오운완, 힐링, 이색, 가성비]",비오는데 운동해서 .. 좋긴하네요,rainy_cool,female,25,ESTP,female,25,INFP
60,17,4,"[데이트, 가성비, 힐링]",비가 와서 아숩네요..,rainy_cool,female,18,ESFJ,female,18,INTJ
